faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP,https://www.newcastle.edu.au/school/engineering
Science,9537,3,Cluster 3 CSP,https://www.newcastle.edu.au/school/environmental-life-sciences
Business,17399,3,Cluster 1 CSP,https://www.newcastle.edu.au/school/newcastle-business-school
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.newcastle.edu.au/school/humanities-creative-industries
Medicine,13558,5,Cluster 4 CSP; B Medical Science / JMP 5yr at UON,https://www.newcastle.edu.au/school/medicine-and-public-health
Law,17399,4,Cluster 1 CSP,https://www.newcastle.edu.au/school/law-and-justice
Education,4738,4,Cluster 2 CSP,https://www.newcastle.edu.au/school/education
IT & Computing,9537,3,Cluster 2 CSP,https://www.newcastle.edu.au/school/information-physical-sciences
Health Sciences,9537,3,Cluster 2 CSP,https://www.newcastle.edu.au/school/health-sciences
Creative Arts,9537,3,Cluster 2 CSP,https://www.newcastle.edu.au/school/humanities-creative-industries
