faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP,https://www.sydney.edu.au/engineering/
Science,9537,3,Cluster 3 CSP,https://www.sydney.edu.au/science/
Business,17399,3,Cluster 1 CSP,https://www.sydney.edu.au/business/
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.sydney.edu.au/arts/
Medicine,13558,6,Cluster 4 CSP,https://www.sydney.edu.au/medicine-health/
Law,17399,5,Cluster 1 CSP,https://www.sydney.edu.au/law/
Education,4738,4,Cluster 2 CSP,https://www.sydney.edu.au/education/
IT & Computing,9537,3,Cluster 2 CSP,https://www.sydney.edu.au/engineering/
Health Sciences,9537,3,Cluster 2 CSP,https://www.sydney.edu.au/medicine-health/
Creative Arts,9537,3,Cluster 2 CSP,https://www.sydney.edu.au/arts/
