faculty,annualFee,courseYears,notes,facultyUrl
Engineering,9537,4,Cluster 3 CSP,https://www.westernsydney.edu.au/schools/soedbe
Science,9537,3,Cluster 3 CSP,https://www.westernsydney.edu.au/schools/soedbe
Business,17399,3,Cluster 1 CSP,https://www.westernsydney.edu.au/schools/sobus
Arts & Humanities,4738,3,Cluster 2 CSP,https://www.westernsydney.edu.au/schools/sohca
Medicine,13558,5,Cluster 4 CSP; MD undergraduate 5yr,https://www.westernsydney.edu.au/schools/som
Law,17399,4,Cluster 1 CSP,https://www.westernsydney.edu.au/schools/sol
Education,4738,4,Cluster 2 CSP,https://www.westernsydney.edu.au/schools/soed
IT & Computing,9537,3,Cluster 2 CSP,https://www.westernsydney.edu.au/schools/soedbe
Health Sciences,9537,3,Cluster 2 CSP,https://www.westernsydney.edu.au/schools/sohs
Creative Arts,9537,3,Cluster 2 CSP,https://www.westernsydney.edu.au/schools/sohca
